municipio_codigo,nome_municipio,uf,semana_epidemiologica,temperatura_media_c,temperatura_max_c,umidade_relativa_pct,precipitacao_acumulada_mm,ndvi_medio,cobertura_agua_pct,altitude_media_m,populacao_exposta,densidade_demografica,indice_saneamento_pct,casos_semana_anterior,precip_tendencia,temp_tendencia,nivel_risco
MUN_168,Curitiba,MG,16,27.99,33.58,60.3,22.97,0.183,4.48,286.9,423808,86.4,69.3,23.26,20.57,24.23,Alto
MUN_146,Salvador,SP,26,26.17,29.37,68.98,105.84,0.402,5.01,437.9,2663412,262.1,64.5,46.26,100.64,28.51,Medio
MUN_159,Recife,CE,12,25.12,26.97,63.27,59.63,0.3,6.33,502.5,875311,379.9,69.8,55.05,51.76,23.58,Alto
MUN_150,Sorocaba,GO,49,28.1,32.73,58.12,14.57,0.203,3.02,951.9,1661163,206.9,56.7,47.05,22.17,28.16,Baixo
MUN_159,Palmas,AM,23,24.97,31.66,67.06,42.5,0.314,5.39,290.6,1527953,479.1,58.0,65.27,45.03,26.02,Medio
MUN_176,Itaquaquecetuba,GO,18,29.96,35.33,73.32,36.79,0.214,3.11,510.8,588755,275.9,64.2,50.23,44.24,29.08,Alto
MUN_088,Goiânia,BA,7,21.25,23.3,49.96,19.22,0.213,1.15,435.2,960728,348.5,71.9,40.93,32.22,20.87,Alto
MUN_160,Caxias do Sul,RS,47,19.82,26.57,49.48,37.33,0.276,4.6,205.4,1264915,61.4,89.7,13.1,52.47,15.49,Baixo
MUN_134,Caxias do Sul,GO,35,30.3,35.9,72.0,54.03,0.228,2.74,254.7,2586798,47.6,81.0,30.97,71.81,30.86,Baixo
MUN_098,Belém,BA,4,28.77,32.37,73.38,68.66,0.277,2.86,520.5,668296,140.7,83.0,34.36,75.98,28.73,Baixo
MUN_169,Sorocaba,CE,10,26.57,30.4,78.29,63.84,0.365,1.75,227.7,386859,37.8,72.7,34.27,71.88,26.28,Medio
MUN_024,Itaquaquecetuba,SP,46,28.03,34.52,61.17,76.82,0.484,7.7,451.8,1522845,144.0,87.3,35.42,78.41,25.41,Medio
MUN_164,Araguaína,PR,3,31.88,35.53,90.53,98.51,0.452,8.35,363.3,1265474,141.7,82.3,23.11,87.74,29.59,Medio
MUN_149,Crato,RS,7,24.19,30.19,70.87,126.28,0.335,6.22,489.0,2738213,474.1,48.3,75.64,115.38,21.56,Alto
MUN_072,Fortaleza,PA,38,26.89,33.37,75.18,81.42,0.48,6.56,330.1,1551045,216.7,90.1,32.76,102.36,26.42,Medio
MUN_083,Sorocaba,SP,44,28.04,33.81,58.77,18.14,0.239,0.0,943.4,717342,334.5,70.4,54.08,0.17,29.04,Baixo
MUN_018,Santos,SC,45,27.75,32.8,66.78,1.48,0.055,0.57,490.4,1612568,310.5,57.4,57.28,3.13,29.3,Medio
MUN_172,Belém,PA,20,27.05,33.2,67.93,28.62,0.263,4.2,564.3,2638620,475.8,48.3,70.33,7.82,25.63,Alto
MUN_074,Caxias do Sul,PR,41,27.53,33.25,60.59,44.74,0.29,7.78,931.5,2248379,248.4,75.9,29.58,47.89,27.21,Baixo
MUN_177,Macaé,SC,20,27.95,36.01,70.72,60.11,0.257,5.18,138.9,1559304,389.8,64.0,57.46,47.47,29.1,Alto
MUN_176,Sorocaba,RN,27,24.78,29.24,64.14,77.02,0.387,7.05,196.0,1818067,387.0,53.9,83.75,93.83,24.93,Alto
MUN_176,Ribeirão Preto,SC,7,21.84,26.49,72.26,112.75,0.367,6.79,208.5,269423,103.4,77.6,44.38,114.59,22.94,Medio
MUN_057,Uberlândia,SP,23,21.98,27.14,63.09,17.99,0.248,4.04,585.1,2330486,363.4,76.6,49.03,7.51,19.27,Alto
MUN_159,Caxias do Sul,SC,24,26.83,31.87,49.43,29.89,0.264,8.1,415.5,139406,292.6,83.8,38.8,53.01,27.81,Medio
MUN_059,Goiânia,AM,48,21.43,27.63,62.67,20.9,0.21,4.05,1004.8,279068,79.0,85.3,25.99,18.2,22.88,Baixo
MUN_121,Fortaleza,RJ,5,18.37,23.25,40.26,31.95,0.314,1.2,864.2,1535781,53.1,78.6,27.6,37.22,18.0,Baixo
MUN_139,Montes Claros,RS,37,30.91,35.46,57.46,22.69,0.291,5.82,781.7,2285205,162.0,87.1,16.76,18.52,31.0,Baixo
MUN_030,Itaquaquecetuba,CE,5,28.18,32.85,57.81,19.69,0.276,3.52,995.0,2091948,283.5,79.0,36.38,28.78,23.51,Baixo
MUN_011,Manaus,PA,37,26.34,34.44,74.84,29.91,0.281,2.71,328.5,768913,282.1,74.7,48.76,38.74,25.68,Medio
MUN_137,Campinas,PR,5,27.71,34.7,79.92,63.05,0.104,2.55,521.7,1054232,302.6,61.6,37.76,62.55,26.38,Medio
MUN_060,Araguaína,RS,48,24.09,29.11,50.82,17.31,0.122,9.98,705.0,2873031,341.6,52.7,60.53,4.94,28.7,Medio
MUN_085,Fortaleza,RN,34,25.65,31.87,60.2,36.96,0.4,3.61,558.4,297656,355.2,84.2,62.82,14.11,22.24,Medio
MUN_183,Recife,PR,30,26.54,28.91,48.06,26.1,0.177,4.34,311.4,517084,305.0,73.9,44.68,38.51,26.78,Alto
MUN_153,Itaquaquecetuba,AM,44,30.84,34.39,62.42,43.18,0.123,1.58,1142.0,618974,136.7,88.3,22.8,50.22,29.86,Baixo
MUN_010,Salvador,TO,40,24.83,31.49,54.7,30.54,0.045,5.83,668.3,2634172,332.1,62.7,55.41,28.39,26.84,Medio
MUN_074,Araguaína,TO,42,26.8,31.39,60.38,43.8,0.283,2.9,712.3,508588,487.4,46.8,68.37,48.68,24.44,Alto
MUN_144,Manaus,RJ,29,31.29,35.61,56.8,31.4,0.205,3.24,729.7,785731,356.3,67.5,58.1,37.76,32.74,Baixo
MUN_077,Araguaína,SC,28,33.18,36.36,71.34,47.02,0.131,3.55,863.9,998893,482.5,69.2,82.08,52.38,32.48,Alto
MUN_045,Fortaleza,PA,25,25.87,32.81,83.72,108.5,0.406,7.32,673.1,2818447,474.7,54.1,89.47,120.48,24.9,Alto
MUN_193,Caxias do Sul,RS,12,26.97,33.82,70.44,108.83,0.391,6.72,253.7,2478932,389.1,50.1,68.76,101.98,29.59,Alto
MUN_182,Manaus,GO,5,31.96,37.83,67.04,54.45,0.289,2.94,383.2,2631718,233.7,70.0,45.83,44.51,30.97,Alto
MUN_169,Montes Claros,MG,16,25.24,31.81,74.47,107.5,0.332,6.2,120.5,2289094,476.2,65.5,64.7,95.57,25.8,Medio
MUN_017,Manaus,TO,36,21.2,25.96,68.58,31.01,0.33,2.08,33.9,366386,208.4,68.2,44.2,31.81,21.01,Medio
MUN_037,Macaé,AM,1,26.17,31.26,52.31,18.91,0.18,2.98,1082.2,2125137,279.6,72.7,52.03,7.43,25.24,Baixo
MUN_160,Itaquaquecetuba,RJ,40,26.33,32.01,50.58,20.13,0.176,1.44,247.0,1400829,79.3,87.8,15.58,4.33,27.74,Baixo
MUN_164,Itaquaquecetuba,RN,41,27.71,31.61,68.09,37.82,0.398,2.0,695.8,2957803,369.4,56.7,45.96,29.1,26.85,Alto
MUN_070,Recife,BA,12,28.14,34.22,52.67,21.53,0.335,4.25,119.4,877330,277.4,66.6,43.96,5.38,26.75,Alto
MUN_073,Goiânia,RJ,46,31.06,37.43,77.91,108.68,0.487,6.5,1021.9,1417911,88.8,93.1,12.47,100.63,31.31,Baixo
MUN_116,Caxias do Sul,RJ,35,30.82,36.17,75.57,84.76,0.411,4.06,341.7,1698113,81.1,59.3,36.35,98.08,31.78,Medio
MUN_085,Salvador,RN,40,29.0,32.38,65.42,71.0,0.382,4.92,57.2,448281,486.8,58.5,68.23,67.15,29.91,Alto
MUN_185,Sorocaba,BA,33,25.27,31.4,75.43,133.16,0.486,10.55,35.7,2014957,460.0,60.2,78.38,115.1,25.9,Medio
MUN_183,Araguaína,BA,2,24.89,28.7,53.82,21.23,0.12,5.21,1196.2,920284,159.8,66.6,51.85,33.88,25.05,Baixo
MUN_048,Palmas,CE,17,21.8,25.73,78.67,58.42,0.155,3.7,243.5,1270806,305.0,81.7,45.08,59.2,19.57,Alto
MUN_002,Uberlândia,TO,10,32.01,36.88,69.16,81.45,0.476,5.77,361.6,1265943,183.5,74.6,68.33,99.36,38.11,Medio
MUN_151,Salvador,MG,25,21.37,25.39,58.7,19.27,0.273,1.9,252.8,695261,184.3,75.1,44.99,20.87,18.1,Medio
MUN_107,Caxias do Sul,BA,19,23.22,28.32,43.83,18.01,0.139,0.0,82.9,1455504,328.5,58.2,65.01,34.29,27.86,Medio
MUN_200,Ribeirão Preto,RJ,51,27.32,32.38,57.1,47.43,0.273,0.21,550.5,581622,438.9,57.7,71.68,45.57,29.07,Medio
MUN_007,Belém,MG,4,26.0,31.83,60.27,36.47,0.228,5.07,1013.9,1051597,186.5,58.1,45.13,51.54,25.96,Baixo
