municipio_codigo,nome_municipio,uf,semana_epidemiologica,temperatura_media_c,temperatura_max_c,umidade_relativa_pct,precipitacao_acumulada_mm,ndvi_medio,cobertura_agua_pct,altitude_media_m,populacao_exposta,densidade_demografica,indice_saneamento_pct,casos_semana_anterior,casos_por_100k,nivel_risco
MUN_001,São Paulo,SP,1,19.77,28.93,80.54,2.31,0.241,0.0,787.5,2259084,39.3,74.5,2831,125.33,Baixo
MUN_001,São Paulo,SP,2,10.33,19.79,64.69,7.78,0.055,0.0,787.5,2259084,39.3,74.5,574,25.41,Baixo
MUN_001,São Paulo,SP,3,12.53,22.18,60.21,5.84,0.328,4.8,787.5,2259084,39.3,74.5,872,38.62,Baixo
MUN_001,São Paulo,SP,4,19.85,26.38,76.22,34.21,0.245,0.0,787.5,2259084,39.3,74.5,3526,156.12,Baixo
MUN_001,São Paulo,SP,5,24.31,33.76,67.64,12.1,0.301,0.0,787.5,2259084,39.3,74.5,3296,145.92,Baixo
MUN_001,São Paulo,SP,6,23.35,30.8,77.44,38.18,0.274,0.0,787.5,2259084,39.3,74.5,3161,139.96,Baixo
MUN_001,São Paulo,SP,7,21.53,28.73,100.0,1.04,0.412,4.56,787.5,2259084,39.3,74.5,4873,215.72,Medio
MUN_001,São Paulo,SP,8,22.66,29.82,54.48,34.21,0.311,2.42,787.5,2259084,39.3,74.5,5139,227.51,Medio
MUN_001,São Paulo,SP,9,20.55,25.4,69.63,40.89,0.338,0.0,787.5,2259084,39.3,74.5,5241,232.0,Medio
MUN_001,São Paulo,SP,10,27.81,33.65,62.62,15.62,0.456,1.08,787.5,2259084,39.3,74.5,2097,92.86,Baixo
MUN_001,São Paulo,SP,11,27.83,35.2,50.99,1.12,0.477,0.0,787.5,2259084,39.3,74.5,6535,289.29,Alto
MUN_001,São Paulo,SP,12,21.91,31.54,85.23,11.61,0.527,0.0,787.5,2259084,39.3,74.5,4450,197.0,Medio
MUN_001,São Paulo,SP,13,30.01,35.76,43.14,45.25,0.507,2.56,787.5,2259084,39.3,74.5,3238,143.34,Baixo
MUN_001,São Paulo,SP,14,24.28,27.61,77.8,128.84,0.648,4.59,787.5,2259084,39.3,74.5,6114,270.67,Alto
MUN_001,São Paulo,SP,15,24.6,28.67,76.44,161.05,0.529,16.47,787.5,2259084,39.3,74.5,5892,260.82,Alto
MUN_001,São Paulo,SP,16,20.16,29.75,100.0,127.67,0.493,2.8,787.5,2259084,39.3,74.5,5252,232.49,Medio
MUN_001,São Paulo,SP,17,30.43,36.14,51.79,48.36,0.515,6.24,787.5,2259084,39.3,74.5,7061,312.57,Alto
MUN_001,São Paulo,SP,18,24.83,27.02,97.35,29.95,0.416,6.39,787.5,2259084,39.3,74.5,6789,300.55,Alto
